카테고리_대,카테고리_소,관서명,주소,위도,경도
안전,경찰서/파출소,풍납_파출소,서울특별시 송파구  풍성로 42,37.53416482,127.1170949
안전,경찰서/파출소,오금_파출소,서울특별시 송파구  마천로8길 17,37.50689952,127.128101
안전,경찰서/파출소,신천_파출소,서울특별시 송파구  올림픽로35길 12 ,37.52016812,127.1125549
안전,경찰서/파출소,위례_파출소,서울특별시 송파구 위례순환로 369,37.47785406,127.1458752
안전,경찰서/파출소,당현_지구대,서울특별시 노원구  노원로17길 64번지,37.64202072,127.0683556
안전,경찰서/파출소,월계_지구대,서울특별시 노원구  월계로55길 58,37.63367962,127.0592872
안전,경찰서/파출소,화랑_지구대,서울특별시 노원구  동일로 1034,37.62256817,127.0745978
안전,경찰서/파출소,노원역_지구대,서울특별시 노원구 노원로431,37.65500552,127.0669164
안전,경찰서/파출소,불암_지구대,서울특별시 노원구  한글비석로 277,37.65243676,127.0773387
안전,경찰서/파출소,마들_지구대,서울특별시 노원구  한글비석로 489 마들지구대,37.66458703,127.0636189
안전,경찰서/파출소,당고개_파출소,서울특별시 노원구 수락산로2길 77,37.66702831,127.0758518
안전,경찰서/파출소,상계1_파출소,서울특별시 노원구  동일로 1693,37.67968122,127.0550471
안전,경찰서/파출소,남태령_지구대,서울특별시 서초구  동작대로 34,37.47949647,126.9821823
안전,경찰서/파출소,서래_파출소,서울특별시 서초구  신반포로 16길 15-14,37.50211027,126.9969673
안전,경찰서/파출소,이수_파출소,서울특별시 서초구  동광로19길 38,37.49414867,126.988847
안전,경찰서/파출소,방배1_파출소,서울특별시 서초구  효령로 31길 64,37.48396059,126.9953409
안전,경찰서/파출소,불광_지구대,서울특별시 은평구  연서로 290,37.62141835,126.9265814
안전,경찰서/파출소,연신내_지구대,서울특별시 은평구  갈현로 195,37.61521272,126.9127089
안전,경찰서/파출소,진관_파출소,서울특별시 은평구  진관3로 38 진관파출소,37.63994525,126.9208996
안전,경찰서/파출소,대조_파출소,서울특별시 은평구 진흥로13길3-33 (대조동),37.60867295,126.9242709
안전,경찰서/파출소,창동_지구대,서울특별시 도봉구 노해로 392,37.65228715,127.051715
안전,경찰서/파출소,신창_파출소,서울특별시 도봉구  도봉로104길 49-5,37.64351954,127.0346164
안전,경찰서/파출소,방학_파출소,서울특별시 도봉구  도봉로145길 45 방학파출소,37.66450334,127.0400155
안전,경찰서/파출소,신방학_파출소,서울특별시 도봉구  시루봉로5길 10,37.65850997,127.0271851
안전,경찰서/파출소,도봉1_파출소,서울특별시 도봉구 도봉로169나길 4 (도봉동),37.67947363,127.043412
안전,경찰서/파출소,도봉2_파출소,서울특별시 도봉구 도봉로 180나길 33,37.68399333,127.0492783
안전,경찰서/파출소,쌍문_파출소,서울특별시 도봉구  방학로3길 132,37.65759555,127.0380024
안전,경찰서/파출소,숭미_파출소,서울특별시 도봉구  노해로 139 숭미파출소,37.64751276,127.0255828
안전,경찰서/파출소,도곡_지구대,서울특별시 강남구  언주로 426,37.50133276,127.0437177
안전,경찰서/파출소,대치_지구대,서울특별시 강남구  삼성로 203,37.49487395,127.0626176
안전,경찰서/파출소,수서_파출소,서울특별시 강남구  밤고개로1길 48,37.48912761,127.1048132
안전,경찰서/파출소,대왕_파출소,서울특별시 강남구  헌릉로 623,37.46517604,127.1073624
안전,경찰서/파출소,일원_지구대,서울특별시 강남구  일원로3길 35,37.49241615,127.0833736
안전,경찰서/파출소,개포_지구대,서울특별시 강남구  개포로 261,37.47977839,127.0511676
